Course Name,Grading,Department,Teaching Strategies,Syllabus Progress,Course Description
中級會計學（一）,"其他 others:Class Attendance & Participation	6
其他 others:Mid-Term Exam 1	30
其他 others:Mid-Term Exam 2	32
期末考 Term exam	32",會計系Accountancy,"講授 Lecture	80
討論 Discussion	20","1	Introduction
2	No Class
3	Ch1. Financial Reporting and Accounting Standards
Ch2. Conceptual Framework for Financial Reporting
4	Ch3. The Accounting Information System
5	Ch4. Income Statement and Related Information
6	Ch4. Income Statement and Related Information
7	Ch5. Statement of Financial Position and Statement of Cash Flows
8	Mid-term Exam 1
9	Ch5. Statement of Financial Position and Statement of Cash Flows
10	Ch7. Receivables
11	Ch8. Valuation of Inventories: A Cost-Basis Approach
12	Ch9. Inventory: Additional Valuation Issues
13	Mid-term Exam 2
14	Ch9. Inventory: Additional Valuation Issues
15	Ch10. Acquisition and Disposition of Property, Plant, and Equipment
16	Ch10. Acquisition and Disposition of Property, Plant, and Equipment
17	Ch10. Acquisition and Disposition of Property, Plant, and Equipment
18	Final Exam",       深入介紹會計準則與處理方法深入介紹會計準則與處理方法
金融數位轉型,"其他 others:Coursera平台總成績	60
出席 Participation	10
作業 Assignments	10
期末考 Term exam	20",會計系Accountancy,使用網路教學 Using Online Teaching	100,"1	Digital Competition in Financial Services
2	Digital Competition in Financial Services
3	The digital transformation
4	The digital transformation
5	Digital platforms
6	Digital ecosystems
7	Capstone project: How open is open enough?
8	FinTech and the Transformation in Financial Services, FinTech essentials
9	FinTech essentials
10	Money and payments
11	Money and payments
12	Payment systems
13	Lending and crowdfunding
14	Lending and crowdfunding
15	Innovation Strategy: Developing your FinTech Strategy, Competing on technological innovation
16	Organizing for digital innovation
17	Channeling the smarts of others & Capstone project
18	Final Exam","       本堂課為Copenhagen Business School的金融數位轉型課程(共計46小時)，包含金融服務的數位競爭(12小時)、金融服務的科技與轉型(19小時)、創新策略：發展你的金融科技策略(11小時)、金融服務數位轉型專案(4小時)，會介紹數位平台與商業生態系統，包含新興科技的金融領域，並分享在歐洲與北美的實際案例作為說明，及如何應用金融科技發展創新策略，課程最後將進行實際的金融服務轉型專案。This course is Digital Transformation in Financial Services Specialization from Copenhagen Business School (totals 46 teaching hours), including Digital Competition in Financial Services (12 teaching hours), FinTech and the Transformation in Financial Services (19 teaching hours), Innovation Strategy: Developing Your Fintech strategy (11 teaching hours), Digital Transformation of Financial Services - Capstone Project (4 teaching hours).
In this course, You’ll learn about concepts such as digital platforms and business ecosystems, be exposed to the emerging Fintech landscape and master a new toolbox for successfully competing on innovation in the digital era of finance. In the final Capstone Project, you’ll create and defend a holistic digital transformation strategy for a real world company. 
Throughout the course, the instructors will use state of art examples and share their own research from the European and North American finance industries, as well as expose practices from leading digital financial services and companies, such as MobilePay, Saxo Bank and PayPal. 
The main focus in the course is on the financial sector (in particular in North America and Europe), but the course also include material of relevance for the financial trading and insurance sectors and inspiration from Africa."
新創企業評價,"平時測驗 Quizzes	80
個人書面報告 Projects	20",會計系Accountancy,使用網路教學 Using Online Teaching	100,"1	Valuation for Startups Using Discounted Cash Flows Approach (Time Value of Money I)
2	Valuation for Startups Using Discounted Cash Flows Approach (Time Value of Money II)
3	Valuation for Startups Using Discounted Cash Flows Approach (Discounted Cash Flow (DCF) Approach I)
4	Valuation for Startups Using Discounted Cash Flows Approach (Discounted Cash Flow (DCF) Approach II)
5	Valuation for Startups Using Multiple Approach (Valuation Based on Comparable Firms)
6	Valuation for Startups Using Multiple Approach (Pre & Post-money valuations)
7	Valuation for Startups Using Multiple Approach (Financial Statements)
8	Valuation for Startups Using Multiple Approach (Cash Flows)
9	Valuation for Startups Using Multiple Approach (Case Study)
10	Financial Analysis for Startups (Financial Ratio Analysis)
11	Financial Analysis for Startups (Long-term Financial Planning)
12	Financial Analysis for Startups (Pro Forma Statements)
13	Financial Analysis for Startups (Planning for Growth at Ysom Inc.)
14	Applying Investment Decision Rules for Startups (Capital Budgeting techniques)
15	Applying Investment Decision Rules for Startups (Project Analysis)
16	Applying Investment Decision Rules for Startups (Issues in Capital Budgeting I)
17	Applying Investment Decision Rules for Startups (Issues in Capital Budgeting II)
18	Applying Investment Decision Rules for Startups (Real Options in Business Projects)","       本課程為Yonsei University 新創企業專項課程五大模組下之四門Coursera課程，第一門為以現金流量折現法評估新創企業 (8小時)，第二門是以多元模式評估新創企業 (13小時)，第三門課是新創企業財務報表分析 (10小時)，最後一堂課則是新創企業之投資決策法則 (11小時)。總授課時數為42小時。
「新創企業評價」課程包括兩種最常見被用於評估新創企業價值的方法。透過這堂課程，學生可以學到如何在創辦人募集資金前後不同時點進行估值、如何閱讀財報和製作pro-forma 報表、以及如何辨別新創企業的財務狀況、如何預測新創企業未來的盈餘和價值。此外，本課程會介紹多種不同投資準則，例如NPV法、IRR法等，來評估何時進行投入資金決策。
這堂課程包含以下主題：貨幣的時間價值、現金流量折現等多種財務評價方法、財報分析、自由現金流量、資本支出決策法則，以及當期趨勢。The Startup Valuation and Financial Analysis Specialization teaches two of the most often used methods to find the value of a startup. You’ll learn how to find the value of founder’s ownership before and after additional funding, how to read financial statements and make pro-forma statements, and how to determine the financial health and status of a startup and estimate future earnings and value. You’ll then use various investment criteria, such as Net Present Value (NPV) and Individual Rate of Return (IRR), to decide about whether and where to invest your money. 
Specific topics include: the time value of money, discounted cash flows method, multiple method, financial statements analysis, free cash flows, capital budgeting decision rules and current trends."
會計資料分析,"平時測驗 Quizzes	60
個人書面報告 Projects	40",會計系Accountancy,使用網路教學 Using Online Teaching	100,"1	Intro- C1: Introduction to Accounting Data Analytics and Visualization
2	C1 M1: Introduction to Accountancy Analytics
3	C1 M2: Accounting Analysis and an Analytics Mindset
4	C1 M3: Data and its Properties
5	C1 M4: Data Visualization 1
6	C1 M5: Data Visualization 2
7	C1 M6: Analytic Tools in Excel 1
8	C1 M7: Analytic Tools in Excel 2
9	C1 M8: Automation in Excel
10	Intro- C2: Accounting Data Analytics with Python
11	C2 M1: Foundations of Python
12	C2 M2: Introduction to Python
13	C2 M3: Introduction to Python Programming
14	C2 M4: Python Programming
15	C2 M5: Data Analysis with Python
16	C2 M6: Introduction to Visualization in Python
17	C2 M7: Production Data Analytics
18	C2 M8: Introduction to Databases in Python","       本堂課程包含兩堂Coursera課程(University of Illinois Urbana-Champaign)，第一部分為Introduction to Accounting Data Analytics and Visualization (共計19小時)，第二部分為Accounting Data Analytics with Python (共計41小時)，此堂課總計60小時。
課程第一部分包含三個主題，第一個主題是將會計與資料分析連結，並教授在財務、管理、審計、稅務、系統中的資料分析思維，並教導通用的資料分析框架FACT，包含定義問題框架(Frame a question)、資料蒐集(Assemble data)、計算資料(Calculate the data)、報告結果(Tell others about the results)。
課程第二部分，將運用課程第一部分的概念，聚焦在Python上進行資料分析，並在Jupyter Netbook for Python環境中，進行資料分析處理。This course has two Coursera courses (University of Illinois Urbana-Champaign), the first course is ""Introduction to Accounting Data Analytics and Visualization"" (19 teaching hours), and the second course is ""Accounting Data Analytics with Python"" (41 teaching hours). This course totals 60 teaching hours.
In the first course, including three sections. In the first section, we bridge accountancy to analytics. We identify how tasks in the five major subdomains of accounting (i.e., financial, managerial, audit, tax, and systems) have historically required an analytical mindset, and we then explore how those tasks can be completed more effectively and efficiently by using big data analytics. We then present a FACT framework for guiding big data analytics: Frame a question, Assemble data, Calculate the data, and Tell others about the results.
The second course focuses on developing Python skills for assembling business data. It will cover some of the same material from Introduction to Accounting Data Analytics and Visualization, but in a more general purpose programming environment (Jupyter Notebook for Python), rather than in Excel and the Visual Basic Editor."
企業資源規劃與資料探勘,"期中考 Midterm Exam	35
小組報告 Group Projects	35
出席 Participation	15
其他 others:其他	15",會計系Accountancy,"講授 Lecture	80
討論 Discussion	10
實作 Workshop	10","1	企業流程與ERP概論 (課程介紹)
2	存貨與財務管理流程ERP實務
3	銷售收款流程與ERP實務
4	採購付款流程與ERP實務
5	企業資源規劃與電腦審計實務(1) (王暐傑經理)
6	企業資源規劃與電腦審計實務(2) (郭仁弘經理)
7	企業資源規劃與電腦審計實務(3) (林文心經理)
8	校際活動周(停課)
9	期中考試
10	企業資源規劃與電腦審計實務(4)
11	企業資源規劃與金融犯罪防治
12	ERP與數據分析：資料庫概論與SQL入門
13	ERP與數據分析：風險智能儀表板
14	企業資源規劃與永續發展 (徐筱媛經理)
15	邁向數據驅動企業的基石-數據治理 (賴信偉經理)
16	企業資源規劃與數據安全 (王旗麟經理)
17	端午節(停課)
18	期末考試","       為目前各企業面臨商業競爭壓力下之努力目標，希望經由企業有限資源之整合達到企業再造，提昇競爭優勢．但企業是由功能個體組合之動態複雜系統，如何經由需求定義、企業流程描述，來執行資源整合規劃是一大挑戰。Accounting information systems (AIS) manage important business processes including purchasing/AP/cash payments, billing/AR/cash receipts, general ledger & business reporting and order entry/sales."
高級會計學（二）,"平時測驗 Quizzes	30
期中考 Midterm Exam	30
期末考 Term exam	30
小組報告 Group Projects	10",會計系Accountancy,"講授 Lecture	60
實作 Workshop	20
報告 Presentation	20","1	間接持股與相互持股
2	間接持股與相互持股
3	間接持股與相互持股
4	子公司發行特別股、合併每股盈餘及合併所得稅
5	子公司發行特別股、合併每股盈餘及合併所得稅
6	子公司發行特別股、合併每股盈餘及合併所得稅
7	子公司發行特別股、合併每股盈餘及合併所得稅
8	期中考
9	避險會計
10	避險會計
11	避險會計
12	外幣交易之會計處理
13	外幣交易之會計處理
14	外幣交易之會計處理
15	財務報表之換算
16	財務報表之換算
17	財務報表之換算
18	期末考",       外幣交易之會計處理、外幣財務報表之轉換、衍生性商品之會計處理、合夥會計處理。外幣交易之會計處理、外幣財務報表之轉換、衍生性商品之會計處理、合夥會計處理。
審計學（一）,"期中考 Midterm Exam	30
期末考 Term exam	30
出席 Participation	15
平時測驗 Quizzes	25",會計系Accountancy,講授 Lecture	100,"1	Introduction the course requirement
2	Ch. 1 The Assurance service market
3	Ch. 2 The Audit Standards’ Setting Process
4	Ch. 2 The Audit Standards’ Setting ProcessCh. 3 Audit Reports
5	Ch. 3 Audit Reports
6	Ch. 4 Legal Liability Considerations for Auditors
7	Holiday
8	Ch. 5 Ethics and The Audit ProfessionCh. 6 Audit Responsibilities and Objectives
9	Ch. 6 Audit Responsibilities and Objectives
10	Mid-Term Exam Ch. 1, 2, 3, 4, 5, 6
11	Ch. 7 Nature and Type of Audit Evidence
12	Ch. 7 Nature and Type of Audit EvidenceCh. 8 Audit Planning
13	Ch. 8 Audit Planning
14	Ch. 9 Considering Materiality and Audit Risk
15	Ch. 10 Considering Internal Control
16	Ch. 10 Considering Internal Control
17	Ch. 11 Considering the Risk of Fraud
18	Ch. 12 Implications of Information Technology for The Audit Process",       The purpose of this course is to introduce the principles of auditing and other assurance services. The purpose of this course is to introduce the principles of auditing and other assurance services.
衍生性金融商品導論,"期中考 Midterm Exam	40
期末考 Term exam	40
作業 Assignments	20",會計系Accountancy,"講授 Lecture	95
影音欣賞 Video/music appreciation	5","1	Ch1. Introduction
2	Ch2. Mechanics of Futures and Forward Markets
3	Ch 4. Interest Rates
4	Ch5. Determination of Forward and Futures Prices Properties of Stock
5	Ch9. Mechanics of Options Markets
6	Ch10. Properties of Stock Options
7	Ch11. Trading Strategies Involving Options
8	Ch12. Introduction to Binomial Trees
9	Ch13. Valuing Stock Options: The Black-Scholes Model (1)
10	Ch13. Valuing Stock Options: The Black-Scholes Model (2)
11	Midterm Exam
12	Ch15. Options on Stock Indices and Currencies
13	Ch17. The Greek Letters
14	Ch20. Value at Risk
15	Ch22. Exotic Options and Other Nonstandard Products (1)
16	Ch22. Exotic Options and Other Nonstandard Products (2)
17	Ch24. Insurance, Weather, Energy, and Credit Derivatives
18	Review & Final Exam",       介紹期貨與選擇權市場操作實務及各式定價及套利避險原則介紹期貨與選擇權市場操作實務及各式定價及套利避險原則
公司理財,"小組報告 Group Projects	30
期中考 Midterm Exam	30
期末考 Term exam	40",會計系Accountancy,"講授 Lecture	94
報告 Presentation	6","1	Introduction
2	Ch 02 Financial Statements and Cash Flow
3	Ch 03 Financial Statements Analysis and Financial Models
4	Ch 04 Discounted Cash Flow Valuation
5	Ch 05 Net Present Value and Other Investment Rules
6	Midterm I
7	Spring Break (no class)
8	Ch 06 Making Capital Investment Decisions
9	Ch 08 Interest Rates and Bond Valuation
10	Ch 09 Stock Valuation
11	CH13 Risk, Cost of Capital, and Valuation
12	Midterm II
13	Ch 16 Capital Structure: Basic Concepts
14	Ch 17 Capital Structure: Limits to the Use of Debt
15	Group Presentation
16	Ch 19 Dividends and Other Payouts
17	CH 29 Mergers, Acquisitions, and Divestitures
18	Final Exam",       公司治理實務與架構、國際會計準則與財務報表、營利事業所得稅申報實務與案例研討公司治理實務與架構、國際會計準則與財務報表、營利事業所得稅申報實務與案例研討
證券交易法,"期中考 Midterm Exam	40
期末考 Term exam	40
出席 Participation	20",會計系Accountancy,"講授 Lecture	80
討論 Discussion	20","1	2/21 證券交易法緒論
2	2/28 和平紀念日
3	3/6  公開發行公司之管理暨內部人之規範
4	3/13 公開發行公司之管理暨內部人之規範
5	3/20 公開發行公司之管理暨內部人之規範
6	3/27 有價證券之募集、私募、發行及買賣
7	4/3  有價證券之募集、私募、發行及買賣
8	4/10 有價證券之募集、私募、發行及買賣
9	4/17 證券商及證券交易所
10	4/24 證券交易法之民、刑事責任（操縱市場）
11	5/1  期中考試
12	5/8  證券交易法之民、刑事責任（操縱市場及內線交易）
13	5/15 證券交易法之民、刑事責任（內線交易）
14	5/22 證券交易法之民、刑事責任（內部人短線交易之歸入權）
15	5/29 證券交易法之民、刑事責任（證券詐欺、公司資訊及公開說明書不實)
16	6/5  證券交易法之民、刑事責任（證券詐欺、公司資訊及公開說明書不實）
17	6/12 證券交易法之民、刑事責任（掏空公司資產）
18	6/19 期末考試",       證券交易法法條與個案分析證券交易法法條與個案分析
財務報表分析,"其他 others:Attendance & Participation	10
期末考 Term exam	45
其他 others:Final Presentation and Project	45",會計系Accountancy,"講授 Lecture	65
個案研討 Case study	35","1	Introduction
2	CH 1 An Introduction to Security Analysis
3	CH 2 Security Analysis and Efficient Markets
4	CH 3 Business Analysis
5	CH 3 Business Analysis
6	CH 4 Accounting Analysis and the Financial Statements
7	No Class
8	Ch 5 Financial Statement Analysis
9	Credit Risk
10	Ch6.8.9 The Economic Balance Sheet and an Overview of Cash Flow Based Valuation Models
11	Ch7 Discount Rates in Valuation
12	Case-POYA
13	Ch10 Forecasting Free Cash Flows
14	Final Presentation and Final Paper
15	Final Presentation and Final Paper
16	Final Presentation and Final Paper
17	Final Exam
18	Review",       統整財務報表與產業資訊，結合會計、財務與經濟觀點作全方位的公司評價分析統整財務報表與產業資訊，結合會計、財務與經濟觀點作全方位的公司評價分析
期貨與選擇權,"作業 Assignments	20
期中考 Midterm Exam	20
期末考 Term exam	20
出席 Participation	20
其他 others:期權虛擬交易(投機,避險各佔10",會計系Accountancy,"講授 Lecture	60
實作 Workshop	40","1	課程大綱介紹；衍生性商品概論；CMoney虛擬交易系統介紹
2	選擇權市場導論;申請虛擬較易系統帳號暨註冊並試玩第I競賽:期權報酬率爭霸賽
3	選擇權的交易策略(I)
4	選擇權的交易策略(II); 開始競賽I:期權報酬率爭霸賽
5	股票選擇權的特質(I)
6	股票選擇權的特質(II)
7	國定假日(請自行觀看MOOCS教學影片複習)
8	二項樹訂價模型之簡介(I)
9	二項樹訂價模型之簡介(II)
10	期中考
11	認購權證與認售權證
12	期貨市場導論(I)
13	期貨市場導論(II);註冊並試玩第II競賽:股價指數期貨避險競賽
14	使用期貨的避險策略(I);開始第II競賽:股價指數期貨避險競賽
15	使用期貨的避險策略(II)
16	遠期和期貨價格的決定(I)
17	遠期契約和期貨價格的決定(II)
18	期末考","       期貨與選擇權之介紹及實務運用。This course involves an elementary level of knowledge in futures and options, which does not require any prerequisite. It is an empirical application-oriented course, focusing on the marketplace practices of Taiwan’s futures and options markets. In line with the empirical attribute of this course, a variety of futures and options strategies will be under the spotlight amongst others."
財務管理,"其他 others:請以老師上課說明之評量方式為主	100
其他 others:請以老師上課說明之評量方式為主	100",會計系Accountancy,講授 Lecture	100,,"       讓學生瞭解財務管理之方法This course is designed for both business majors and non-business majors. For business majors, the course is intended to prepare you for the more advanced courses to develop you as a financial specialist or professional. For non-business majors, the ""tools"" you acquire in this course will enhance your decision-making abilities."
數位平台設計,"其他 others:Attendance and Participation	30
小組報告 Group Projects	10
其他 others:Midterm project	30
其他 others:Final project	30",企管系Business Administration,"講授 Lecture	40
實作 Workshop	40
報告 Presentation	20","1	Introduction
2	Digital Platform and Design Science
3	Digital Platform Business Model
4	Digital Platform Business Model Examples (Presentation)
5	Design Recombination
6	CSS Basics
7	Layout Design 1
8	Layout Design 2
9	JavaScript
10	Midterm Project Paper
11	SEO and Content Strategy
12	Introduction to PHP
13	PHP Fundamentals
14	Form Handling & MySQL
15	MySQL CRUD Practices
16	Final Presentation 1
17	Final Presentation 2
18	Final Report","       本課程將幫助學生理解數位平台的運營，並且透過課程實務練習，讓學生構思平台的商業模式，並且透過網頁技術開發平台。課程中將透過設計、程式以及商業三個維度，帶領學生認識數位平台。在設計部分，學生將能夠了解介面設計的基本概念以及網頁搜尋者的行為。在程式設計技巧方面，學生將能夠透過HTML、JavaScript 與 CSS來建置平台的介面。在商業部分，學生將能夠設計建置新平台的相關策略。This course will help students understand the operation of digital platforms and, through practical exercises, enable them to conceptualize the business models of these platforms and develop them using web technologies. The course will guide students in understanding digital platforms through three dimensions: design, programming, and business. In the design aspect, students will learn basic concepts of interface design and user behavior on web platforms. In terms of programming skills, students will be able to build platform interfaces using HTML, JavaScript, and CSS. In the business dimension, students will design and develop relevant strategies for creating new platforms."
統計學（一）,"其他 others:Homeworks and Quiz	20
期中考 Midterm Exam	40
期末考 Term exam	40",統計系Statistics,"講授 Lecture	90
個案研討 Case study	10","1	Introduction to the real case and its applications_Part I
2	Introduction to the real case and its applications_Part II
3	Defining and Collecting Data & Organizing and Visualizing Variables
4	Numerical Descriptive Measures
5	Probability and real applications_Part I
6	Probability and real applications_Part II
7	Random Variables and Distributions – Discrete I
8	Random Variables and Distributions – Discrete II
9	Review and Midterm
10	Random Variables and Distributions – Continues I
11	Random Variables and Distributions – Continues II
12	Sampling Distribution
13	Inferences Based on a Single Sample - Estimation
14	Inferences Based on a Single Sample – Confidence Intervals I
15	Inferences Based on a Single Sample – Confidence Intervals II
16	Inferences Based on a Single Sample – Hypotheses testing I
17	Inferences Based on a Single Sample – Hypotheses testing II
18	Final Exam",       統計學之意義與應用、統計資料之搜集及圖表、敘述統計、基本機率概念、期望值、機率分配、抽樣分配、平均數之推論、變異數之推論、比率之推論、變異數分析、相關與迴歸、時間數列分析。This course is designed to introduce the basic tools in statistics for the students of business and management. Statistical concepts and applications in business and management and other areas are illustrated as examples. Emphasis of this course is on the understanding and applications of basic statistics.
微積分（一）,"平時測驗 Quizzes	24
作業 Assignments	16
期中考 Midterm Exam	30
期末考 Term exam	30",統計系Statistics,講授 Lecture	100,"1	Precalculus review
2	Functions and Limits
3	Continuity
4	Derivatives I
5	Derivatives II
6	Application of the first and second derivatives I
7	Application of the first and second derivatives II
8	Integration I
9	Middle Exam
10	Integration II
11	Applications of integration I
12	Applications of integration II
13	Transcendental functions I
14	Transcendental functions II
15	Techniques of integration I
16	Techniques of integration II
17	Techniques of integration III
18	Final Exam",       極限的概念、導數之定義及應用、定積分之性質及微積分基本定理、積分之應用及積分技巧、超越函數之定義及應用、無窮級數、冪級數、泰勒級數之概念、極坐標、向量之介紹、多變數函數之微分、積分及應用。Study the theory of calculus (differentiation) and applications of derivatives
線性代數,"作業 Assignments	20
平時測驗 Quizzes	20
期中考 Midterm Exam	30
期末考 Term exam	30",統計系Statistics,講授 Lecture	100,"1	Systems of Linear Equation and Matrices
2	Systems of Linear Equation and Matrices
3	Systems of Linear Equation and Matrices
4	Determinants
5	Euclidean Vector Spaces
6	General Vector Spaces
7	General Vector Spaces
8	General Vector Spaces
9	Midterm Exam
10	Eigenvalues and Eigenvectors
11	Eigenvalues and Eigenvectors
12	Inner Product Space
13	Inner Product Space
14	Diagonalization and Quadratic Form
15	Diagonalization and Quadratic Form
16	General Linear Transformations
17	General Linear Transformations
18	Final Exam",       矩陣向量之導論：Gauss-Jordan解線性方程組方法、矩陣之特徵值、特徵向量及其在微分方程與馬可夫鏈之應用；向量空間理論、基底變化之效果及應用；矩陣之對角線化問題理論及其在二次函數之應用；線性規劃問題。An introduction to linear algebra and its applications.
經濟學（一）,"平時測驗 Quizzes	25
期中考 Midterm Exam	35
期末考 Term exam	40",統計系Statistics,"講授 Lecture	80
討論 Discussion	20","1	課程介紹
2	第三章(相互依存與交易利得，Interdependence and the Gains from Trade)
3	第四章(供給與需求的市場力量，The Market Forces of Supply and Demand)+第1次小考
4	停課一次(校慶運動會補假)
5	第四章+第五章(彈性與其應用，Elasticity and Its Application)
6	第五章
7	第七章(市場效率，The Efficiency of Markets)+第2次小考
8	第六章(供給、需求與政府政策，Supply, Demand, and Government Policies)
9	第八章(應用: 課稅的成本，Application: The Costs of Taxation)
10	期中考試
11	第十章(外部性，Externalities)
12	第十章+第十三章(生產成本，The Costs of Production)
13	第十三章+第十四章(完全競爭市場的廠商，Firms in Competitive Markets)+第3次小考
14	第十四章
15	第十五章(獨占，Monopoly)
16	第十五章+第十七章(寡占，Oligopoly)+第4次小考
17	第十七章+總複習
18	期末考試","       供需均衡分析、價格彈性、消費理論、生產與成本分析、市場分析、生產要素組合與所得分配、所得的測定、凱因斯總體經濟論、古典總體經濟理論、重貨幣派總體經濟理論、理性預期理論、國際貿易與國際金融、經濟成長與經濟制度。Supply and demand equilibrium analysis, price elasticity, consumption theory, production and cost analysis, market analysis, production factor combination and income distribution, measurement of income, Keynesian overall economic theory, classical overall economic theory, heavy currency theory, overall economic theory, rational expectations Theory, international trade and international finance, economic growth and economic institutions."
服務學習（一）,"出席 Participation	100
出席 Participation	100",統計系Statistics,實作 Workshop	100,"1	系館環境清潔服務
2	系館環境清潔服務
3	系館環境清潔服務
4	系館環境清潔服務
5	系館環境清潔服務
6	系館環境清潔服務
7	系館環境清潔服務
8	系館環境清潔服務
9	系館環境清潔服務
10	系館環境清潔服務
11	系館環境清潔服務
12	系館環境清潔服務
13	系館環境清潔服務
14	系館環境清潔服務
15	系館環境清潔服務
16	系館環境清潔服務
17	系館環境清潔服務
18	系館環境清潔服務",       配合本校服務學習教育課程辦法並有效推行服務學習教育課程，服務範圍為校園認養區域，含系所週邊及管院地下一樓、調查統計中心內外環境之美化與清潔。
管理學,"出席 Participation	20
小組報告 Group Projects	20
期中考 Midterm Exam	30
期末考 Term exam	30",統計系Statistics,"講授 Lecture	60
討論 Discussion	40",,"       管理之基本原理、規劃的本質與目的、組織之本質與目的、部門劃分、直線與幕僚之職權關係、任用之性質與目的、管理者的選用與評估、管理者的發展與訓練、指揮的本質、意見傳達和領導能力、控制的程序和技術、整體績效的控制、個案研究。The basic principles of management, the nature and purpose of planning, the nature and purpose of organization, division of departments, the relationship of power and authority between line and staff, the nature and purpose of appointment, selection and evaluation of managers, development and training of managers, the nature of command , Opinion communication and leadership, control procedures and techniques, overall performance control, case studies."
程式設計,"期中考 Midterm Exam	20
期末考 Term exam	20
作業 Assignments	40
平時測驗 Quizzes	20",統計系Statistics,"講授 Lecture	40
其他:隨堂練習 others	30
其他:作業 others	20
其他:專題報告 others	10","1	Review python and Introduction to R
2	Algorithm & data structure
3	Class & basic OO
4	Data loading and parsing
5	Data structure: array
6	Stack, and queue
7	Tree structure
8	graph
9	期中考上機考 10%
10	graph (II)
11	Search
12	Sorting, and other packages
13	Pandas and Numpy
14	Data parsing
15	Data analysis
16	Data analysis (II)
17	Data analysis (III)
18	Final Exam (上機考) 10%","       程式設計概論與FORTRAN語言介紹、問題解析策略與演算法描述方法、結構化控制敘述if, while應用、基本型資料型別應用、結構化控制敘述Case,for,vepeat應用、陣列、字串型別應用與處理、記錄型別應用與處理、淺談陣列排序與搜尋、集合型別應用、檔案型別應用與處理、遞迴演算法設計、再談排序與搜尋演算法、簡介動態資料結構與指標型別應用及IMSL之使用。Teach students statistical programming with R."
機率概論,"作業 Assignments	15
平時測驗 Quizzes	15
期中考 Midterm Exam	35
期末考 Term exam	35",統計系Statistics,講授 Lecture	100,"1	Course instruction/counting rule
2	Set theory
3	Set theory
4	Probability concept
5	Probability concept
6	Random variable
7	Random variable
8	Random variable
9	Midterm
10	Expected values
11	Expected values
12	Expected values
13	Univariate Parametric Families
14	Univariate Parametric Families
15	Univariate Parametric Families
16	Multivariate Parametric Families
17	Multivariate Parametric Families
18	Final Exam",       機率概論、隨機變數之分配、多變量機率分析、隨機變數的函數之分配、抽樣分配、機率分配之極限分配。An entry-level probability course
品質管制,"作業 Assignments	30
期中考 Midterm Exam	35
期末考 Term exam	35",統計系Statistics,講授 Lecture	100,"1	Overview of Syllabus
2	Introduction to Quality and Quality Assurance System
3	Fundamentals of Statistics/Data Collection SPC 7 tools
4	Vacation(no class)
5	Fundamentals of Probability
6	Fundamentals of Probability
7	Control Charts for Variables
8	Control Charts for Variables
9	Mid-Exam
10	Process Capability Studies
11	Product Interference Analysis
12	Statistical Tolerance Design and Gage Variation Study
13	Control Charts for Attributes
14	Pattern Interpretation & Review
15	Acceptance Sampling and OC curve
16	Acceptance Sampling for Attributes
17	Acceptance Sampling for Variables
18	Final Project",       介紹品管圈活動、全面品質管理、計量與計數值等各類管制圖原理及應用實例；製程能力分析，並對計數值、計量值、連續型及逐次之抽樣檢驗計劃作深入的探討與介紹。Introduction of Statistical Quality Control: theory and applications.
會計學（一）,"期中考 Midterm Exam	30
期末考 Term exam	30
平時測驗 Quizzes	20
其他 others:課堂QA討論 / 學術活動參與/ 研究參與	20",統計系Statistics,"講授 Lecture	80
討論 Discussion	20","1	Introduction, ACCOUNTING CYCLE
2	Chapter 1 Accounting in Action
3	Chapter 2 The Recording Process
4	Chapter 3 Adjusting the Accounts
5	Chapter 3 Adjusting the Accounts
6	(國慶日)
7	Chapter 4 Completing the Accounting Cycle
8	Chapter 4 Completing the Accounting Cycle
9	Mid-term exam(CH1~CH4)
10	Chapter 5 Accounting for Merchandise Operations
11	Chapter 5-6：Inventories (永續金融科技國際論壇)
12	Chapter 6 Inventories
13	Chapter 7 Fraud, Internal Control, and Cash
14	Chapter 8 Accounting for Receivables
15	Chapter 8-9
16	Chapter 9 Plant Assets, Natural Resources, and Intangible Assets
17	Final exam(CH5~CH9)
18	開國紀念日補假","       課程內容包括：會計處理過程（簿記程序）、資產與負債的評價基準以及會計處理方法、資本會計的內容與處理以及公司法有關之規定、合併報表之編製、財務狀況變動表的編製，並且分析資金的來源與用途，並介紹財務報表之分析方法等。The course content includes: accounting treatment process (bookkeeping procedures), assessment criteria of assets and liabilities and accounting treatment methods, content and treatment of capital accounting and relevant provisions of the company law, preparation of consolidated statements, preparation of statements of changes in financial position, and analysis The source and use of funds, and the analysis of financial statements."
